card_id,section_id,card_scope,price_segment,component_type,card_order,kpi_id,kpi_label_el,group,source_metric,raw_value,display_value,value_type,source_table
card_segment_χαμηλi_segment_Χαμηλή_median_mileage,segment_profile,segment,Χαμηλή,kpi_card,10,segment_Χαμηλή_median_mileage,Διάμεση χιλιομετρική κάλυψη,Χρήση οχήματος,median_mileage,67245.0,"67,245 km",mileage,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλi_segment_Χαμηλή_mean_age,segment_profile,segment,Χαμηλή,kpi_card,11,segment_Χαμηλή_mean_age,Μέση ηλικία,Χρήση οχήματος,mean_age,4.21,4.2 έτη,age,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλi_segment_Χαμηλή_mean_mileage,segment_profile,segment,Χαμηλή,kpi_card,12,segment_Χαμηλή_mean_mileage,Μέση χιλιομετρική κάλυψη,Χρήση οχήματος,mean_mileage,70253.86,"70,254 km",mileage,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλομεσαiα_segment_Χαμηλομεσαία_n_observations,segment_profile,segment,Χαμηλομεσαία,kpi_card,1,segment_Χαμηλομεσαία_n_observations,Αριθμός παρατηρήσεων,Μέγεθος segment,n_observations,2081.0,"2,081",integer,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλομεσαiα_segment_Χαμηλομεσαία_share_pct,segment_profile,segment,Χαμηλομεσαία,kpi_card,2,segment_Χαμηλομεσαία_share_pct,Ποσοστό συμμετοχής,Μέγεθος segment,share_pct,25.08,25.08%,percentage,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλομεσαiα_segment_Χαμηλομεσαία_median_horsepower,segment_profile,segment,Χαμηλομεσαία,kpi_card,3,segment_Χαμηλομεσαία_median_horsepower,Διάμεση ιπποδύναμη,Τεχνικά χαρακτηριστικά,median_horsepower,120.0,120 hp,horsepower,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλομεσαiα_segment_Χαμηλομεσαία_median_engine_size,segment_profile,segment,Χαμηλομεσαία,kpi_card,4,segment_Χαμηλομεσαία_median_engine_size,Διάμεσος κυβισμός,Τεχνικά χαρακτηριστικά,median_engine_size,1300.0,"1,300 cc",engine_size,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλομεσαiα_segment_Χαμηλομεσαία_mean_horsepower,segment_profile,segment,Χαμηλομεσαία,kpi_card,5,segment_Χαμηλομεσαία_mean_horsepower,Μέση ιπποδύναμη,Τεχνικά χαρακτηριστικά,mean_horsepower,122.65,123 hp,horsepower,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλομεσαiα_segment_Χαμηλομεσαία_mean_engine_size,segment_profile,segment,Χαμηλομεσαία,kpi_card,6,segment_Χαμηλομεσαία_mean_engine_size,Μέσος κυβισμός,Τεχνικά χαρακτηριστικά,mean_engine_size,1333.01,"1,333 cc",engine_size,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλομεσαiα_segment_Χαμηλομεσαία_median_price,segment_profile,segment,Χαμηλομεσαία,kpi_card,7,segment_Χαμηλομεσαία_median_price,Διάμεση τιμή,Τιμή,median_price,18990.0,"€18,990",currency,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλομεσαiα_segment_Χαμηλομεσαία_mean_price,segment_profile,segment,Χαμηλομεσαία,kpi_card,8,segment_Χαμηλομεσαία_mean_price,Μέση τιμή,Τιμή,mean_price,19127.83,"€19,128",currency,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλομεσαiα_segment_Χαμηλομεσαία_median_age,segment_profile,segment,Χαμηλομεσαία,kpi_card,9,segment_Χαμηλομεσαία_median_age,Διάμεση ηλικία,Χρήση οχήματος,median_age,4.0,4.0 έτη,age,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλομεσαiα_segment_Χαμηλομεσαία_median_mileage,segment_profile,segment,Χαμηλομεσαία,kpi_card,10,segment_Χαμηλομεσαία_median_mileage,Διάμεση χιλιομετρική κάλυψη,Χρήση οχήματος,median_mileage,50900.0,"50,900 km",mileage,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλομεσαiα_segment_Χαμηλομεσαία_mean_age,segment_profile,segment,Χαμηλομεσαία,kpi_card,11,segment_Χαμηλομεσαία_mean_age,Μέση ηλικία,Χρήση οχήματος,mean_age,3.66,3.7 έτη,age,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_χαμηλομεσαiα_segment_Χαμηλομεσαία_mean_mileage,segment_profile,segment,Χαμηλομεσαία,kpi_card,12,segment_Χαμηλομεσαία_mean_mileage,Μέση χιλιομετρική κάλυψη,Χρήση οχήματος,mean_mileage,54669.7,"54,670 km",mileage,notebook5_price_segment_counts + notebook5_segment_profile_summary
