Price_Segment,Count,Mean_Actual_Price,Mean_Predicted_Price,MAE,RMSE,R2,MedAE,Bias,MAPE_%
10k–20k,667,15910.0,16702.906,1625.662157690686,2230.3936440500815,0.3178191860146128,1239.1875,-792.9071972802661,10.25198168015509
20k–35k,533,25988.647279549717,26213.812,3239.845671977603,4680.253798548515,-0.2739864740878375,2429.431640625,-225.16387744781895,12.405326327270583
35k–60k,218,45009.65596330275,45609.23,6554.206350344037,9213.140327143969,-0.8302196368447559,4850.826171875,-599.5717818233945,14.56909970956938
<=10k,39,7992.051282051282,10944.451,2981.016376201923,4900.476728313494,-4.634342797778944,2292.0439453125,-2952.4002904647436,41.77486597678302
>60k,203,100753.66502463054,97921.71,11983.245247075123,17352.620045921947,0.8495196985832395,8490.09765625,2831.943907789409,11.628459466236235
