Μοντέλο,MAE,RMSE,R2
XGBoost,4089.6565123776354,7587.251670127547,0.941703070350192
RandomForest,3855.4168940982368,8159.859256378241,0.9325717267152107
Ridge,5670.673781694768,9988.704663183536,0.8989596022044906
LinearRegression,5301.67639671693,10312.95278644165,0.892293289694604
DummyRegressor,16831.92048192771,33345.890882978645,-0.12605953348607346
