Εγγραφή,Count,Mean_Actual_Price,Mean_Predicted_Price,MAE,RMSE,R2,MedAE,Bias,MAPE_%
2021,616,27753.340909090908,28117.438,3319.422048593496,6444.771321782082,0.9370948303222177,1924.119140625,-364.09799788834215,11.694137311492545
2022,476,32792.216386554624,33061.695,3960.182803883272,7129.690125772334,0.9472813870086517,2145.57568359375,-269.4788007976628,12.461355944930556
2023,262,38001.67175572519,38141.312,5464.027548753578,9862.806018718118,0.9070070491154706,3135.8017578125,-139.63998762523855,14.719195632575849
2024,155,48825.50967741935,47866.277,5769.636324974798,9430.182116410298,0.9455981844390658,3487.546875,959.2275611139113,13.677086762590237
2025,151,31862.006622516557,32387.734,3530.7944756312086,6565.214532290451,0.9645421072688999,1659.451171875,-525.7312124896523,9.96291242995081
