variable,missing_count,missing_pct
engine_size,652,7.86
mileage,2,0.02
age,0,0.0
condition,0,0.0
fuel_type,0,0.0
horsepower,0,0.0
make,0,0.0
model,0,0.0
price,0,0.0
region,0,0.0
registration_year,0,0.0
transmission,0,0.0
