price_segment,Βενζίνη,Πετρέλαιο,Υβριδικό Βενζίνης,Plug-in Hybrid Βενζίνης,Ηλεκτρικό,Υβριδικό Πετρελαίου,Plug-in Hybrid Πετρελαίου,LPG / Βενζίνη,CNG / Βενζίνη
Χαμηλή,1084,568,275,6,90,3,0,32,19
Χαμηλομεσαία,963,406,494,58,100,14,0,31,15
Μεσοϋψηλή,552,323,481,497,178,27,2,3,6
Υψηλή,357,256,176,611,284,226,159,0,0
