price_segment,Mercedes-Benz,Peugeot,BMW,Toyota,Opel,Volkswagen,Citroen,Ford,Audi,Hyundai
Χαμηλή,0.46,20.14,0.0,10.99,25.06,5.0,22.52,5.69,0.23,9.92
Χαμηλομεσαία,3.24,26.73,3.53,15.13,9.73,13.76,8.14,11.24,3.24,5.26
Μεσοϋψηλή,15.1,16.73,17.2,9.65,2.88,13.31,1.95,5.91,12.22,5.06
Υψηλή,49.58,1.46,26.94,2.54,0.31,2.54,0.08,4.54,11.78,0.23
