Καύσιμο,Count,Mean_Actual_Price,Mean_Predicted_Price,MAE,RMSE,R2,MedAE,Bias,MAPE_%
Plug-in Hybrid Πετρελαίου,49,70832.16326530612,70854.26,6665.060507015306,9168.575533773861,0.7622206398778146,4396.5390625,-22.0914381377551,9.149126606660543
Βενζίνη,574,28678.16550522648,29027.533,3356.4614666131315,8318.353420877127,0.9476674826664895,1537.5380859375,-349.36733891822735,10.589122337614567
Ηλεκτρικό,129,36557.70542635659,36664.863,5659.807420360949,8259.204012806276,0.882936579326267,3363.73046875,-107.15687833091086,17.173658054751677
Plug-in Hybrid Βενζίνης,212,49529.41509433962,50242.332,5650.829488502359,8047.421737047718,0.9362998926685551,3946.0458984375,-712.9136387087265,11.728064448090143
Υβριδικό Πετρελαίου,48,58634.958333333336,59514.23,5636.334716796875,7783.269316941886,0.8848673578430469,3748.240234375,-879.2748209635416,9.875849020183232
Πετρέλαιο,345,26053.002898550723,25767.78,3870.462899116848,7167.663368294094,0.8916475452670793,1937.17578125,285.22134567481885,15.588249212398662
Υβριδικό Βενζίνης,289,27206.43944636678,27252.072,3362.576959207396,5412.249127668824,0.9532315578573077,1978.859375,-45.63226846345156,11.551826198647836
