Transformed_Feature,Mean_Abs_SHAP
cat__Τύπος_Τiggo 7,0.0
cat__Τύπος_180,0.0
cat__Τύπος_118,0.0
cat__Τύπος_108,0.0
cat__Τύπος_08,0.0
cat__Τύπος_01,0.0
cat__Τύπος_#1,0.0
cat__Κατασκευαστής_Κόμπακτ / Hatchback,0.0
cat__Κατασκευαστής_Zhidou,0.0
cat__Περιοχή_ΧΑΛΑΝΔΡΙ 15231,0.0
cat__Περιοχή_ΑΘΗΝΑ 10440,0.0
cat__Περιοχή_ΑΘΗΝΑ 10439,0.0
cat__Περιοχή_ΑΘΗΝΑ 10438,0.0
cat__Περιοχή_ΑΘΗΝΑ 10437,0.0
cat__Περιοχή_ΑΘΗΝΑ 10436,0.0
cat__Περιοχή_ΑΘΗΝΑ 10435,0.0
cat__Περιοχή_ΑΘΗΝΑ 10434,0.0
cat__Περιοχή_ΑΘΗΝΑ 10433,0.0
cat__Περιοχή_ΑΘΗΝΑ 10431,0.0
cat__Περιοχή_ΑΕΡΟΔΡ. ΑΘΗΝΩΝ 19019,0.0
cat__Περιοχή_ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ 17343,0.0
cat__Περιοχή_ΠΕΡΙΣΤΕΡΙ 12134,0.0
cat__Περιοχή_ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ 13562,0.0
cat__Περιοχή_ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ 13561,0.0
cat__Περιοχή_ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ 15342,0.0
cat__Περιοχή_ΠΕΡΙΣΤΕΡΙ 12133,0.0
cat__Περιοχή_ΑΘΗΝΑ 10676,0.0
cat__Περιοχή_ΑΘΗΝΑ 10675,0.0
cat__Περιοχή_ΑΘΗΝΑ 10674,0.0
cat__Περιοχή_ΑΘΗΝΑ 10673,0.0
cat__Περιοχή_ΠΕΡΙΣΤΕΡΙ 12131,0.0
cat__Περιοχή_ΑΘΗΝΑ 10563,0.0
cat__Περιοχή_ΑΘΗΝΑ 10562,0.0
cat__Περιοχή_ΑΘΗΝΑ 10561,0.0
cat__Περιοχή_ΑΘΗΝΑ 10559,0.0
cat__Περιοχή_ΑΘΗΝΑ 10556,0.0
cat__Τύπος_CLA 220,0.0
cat__Τύπος_CLA 200 Shooting Brake,0.0
cat__Τύπος_CLA 200,0.0
cat__Τύπος_CLA 180,0.0
cat__Τύπος_C5 Aircross,0.0
cat__Περιοχή_ΑΘΗΝΑ 10441,0.0
cat__Περιοχή_ΑΘΗΝΑ 11364,0.0
cat__Τύπος_C4 SpaceTourer,0.0
cat__Περιοχή_ΑΘΗΝΑ 11362,0.0
cat__Περιοχή_ΑΘΗΝΑ 11256,0.0
cat__Περιοχή_ΑΘΗΝΑ 11253,0.0
cat__Περιοχή_ΑΘΗΝΑ 11251,0.0
cat__Περιοχή_ΑΘΗΝΑ 11145,0.0
cat__Περιοχή_ΑΘΗΝΑ 11144,0.0
cat__Τύπος_C4 Grand Picasso,0.0
cat__Περιοχή_ΑΘΗΝΑ 11142,0.0
cat__Τύπος_C4,0.0
cat__Περιοχή_ΑΘΗΝΑ 10683,0.0
cat__Περιοχή_ΑΘΗΝΑ 10682,0.0
cat__Περιοχή_ΑΘΗΝΑ 10679,0.0
cat__Περιοχή_ΑΘΗΝΑ 10678,0.0
cat__Περιοχή_ΑΘΗΝΑ 10677,0.0
cat__Κατασκευαστής_Mitsubishi,0.0
cat__Κατασκευαστής_Mazda,0.0
cat__Τύπος_C3 Aircross,0.0
cat__Τύπος_C1,0.0
cat__Τύπος_C 63 AMG,0.0
cat__Περιοχή_ΑΘΗΝΑ 11526,0.0
cat__Τύπος_C 400,0.0
cat__Τύπος_B 250,0.0
cat__Περιοχή_ΑΘΗΝΑ 11523,0.0
cat__Περιοχή_ΑΘΗΝΑ 11522,0.0
cat__Περιοχή_ΑΘΗΝΑ 11521,0.0
cat__Τύπος_Avenger,0.0
cat__Περιοχή_ΑΘΗΝΑ 11475,0.0
cat__Περιοχή_ΑΘΗΝΑ 11474,0.0
cat__Περιοχή_ΑΘΗΝΑ 11473,0.0
cat__Περιοχή_ΑΘΗΝΑ 11471,0.0
cat__Περιοχή_ΑΘΗΝΑ 11745,0.0
cat__Περιοχή_ΑΘΗΝΑ 11744,0.0
cat__Περιοχή_ΑΘΗΝΑ 11743,0.0
cat__Περιοχή_ΑΘΗΝΑ 11742,0.0
cat__Περιοχή_ΑΘΗΝΑ 11741,0.0
cat__Τύπος_Austral,0.0
cat__Περιοχή_ΑΘΗΝΑ 11634,0.0
cat__Περιοχή_ΑΘΗΝΑ 11632,0.0
cat__Τύπος_Ateca,0.0
cat__Κατασκευαστής_Subaru,0.0
cat__Κατασκευαστής_Smart,0.0
cat__Κατασκευαστής_Skoda,0.0
cat__Κατασκευαστής_Seat,0.0
cat__Τύπος_Asx,0.0
cat__Κατασκευαστής_Omoda,0.0
cat__Τύπος_Astra,0.0
cat__Περιοχή_ΑΝΩ ΛΙΟΣΙΑ 13342,0.0
cat__Περιοχή_ΑΝΩ ΛΙΟΣΙΑ 13341,0.0
cat__Περιοχή_ΑΝΟΙΞΗ 14569,0.0
cat__Τύπος_Arona,0.0
cat__Τύπος_Arkana,0.0
cat__Περιοχή_ΑΛΙΜΟΣ 17655,0.0
cat__Τύπος_CLE 300,0.0
cat__Περιοχή_ΑΙΓΙΝΑ 18010,0.0
cat__Περιοχή_ΑΙΓΑΛΕΩ 12244,0.0
cat__Περιοχή_ΑΙΓΑΛΕΩ 12243,0.0
cat__Τύπος_CLE 220,0.0
cat__Περιοχή_ΑΙΓΑΛΕΩ 12241,0.0
cat__Περιοχή_ΑΘΗΝΑ 11855,0.0
cat__Περιοχή_ΑΘΗΝΑ 11854,0.0
cat__Περιοχή_ΑΘΗΝΑ 11853,0.0
cat__Περιοχή_ΑΘΗΝΑ 11852,0.0
cat__Τύπος_CLA 45 AMG,0.0
cat__Τύπος_CLA 250 Shooting Brake,0.0
cat__Περιοχή_ΒΥΡΩΝΑΣ 16231,0.0
cat__Τύπος_CLA 250,0.0
cat__Περιοχή_ΑΧΑΡΝΕΣ 13678,0.0
cat__Περιοχή_ΑΧΑΡΝΕΣ 13675,0.0
cat__Τύπος_Clubman,0.0
cat__Περιοχή_ΑΧΑΡΝΕΣ 13673,0.0
cat__Περιοχή_ΑΧΑΡΝΕΣ 13672,0.0
cat__Τύπος_Clio,0.0
cat__Περιοχή_ΑΥΛΩΝΑ 19011,0.0
cat__Τύπος_Civic,0.0
cat__Περιοχή_ΑΡΤΕΜΙΣ 19016,0.0
cat__Περιοχή_ΑΡΓΥΡΟΥΠΟΛΗ 16452,0.0
cat__Τύπος_Citan,0.0
cat__Περιοχή_ΑΝΩ ΛΙΟΣΙΑ 13344,0.0
cat__Περιοχή_ΖΩΓΡΑΦΟΣ 15773,0.0
cat__Περιοχή_ΖΩΓΡΑΦΟΣ 15772,0.0
cat__Τύπος_Capri,0.0
cat__Τύπος_Caddy Maxi,0.0
cat__Περιοχή_ΕΛΕΥΣΙΝΑ 19200,0.0
cat__Περιοχή_ΔΡΟΣΙΑ 14572,0.0
cat__Περιοχή_ΔΡΑΠΕΤΣΩΝΑ 18648,0.0
cat__Περιοχή_ΔΙΟΝΥΣΟΣ 14576,0.0
cat__Περιοχή_ΔΑΦΝΗ 17235,0.0
cat__Περιοχή_ΔΑΦΝΗ 17234,0.0
cat__Περιοχή_ΓΛΥΦΑΔΑ 16562,0.0
cat__Τύπος_Caddy,0.0
cat__Τύπος_CX-60,0.0
cat__Περιοχή_ΓΕΡΑΚΑΣ 15349,0.0
cat__Περιοχή_ΓΑΛΑΤΣΙ 11147,0.0
cat__Περιοχή_ΓΑΛΑΤΣΙ 11146,0.0
cat__Κατασκευαστής_Jaecoo,0.0
cat__Κατασκευαστής_Isuzu,0.0
cat__Τύπος_CX-30,0.0
cat__Τύπος_CLS 450,0.0
cat__Περιοχή_ΚΑΙΣΑΡΙΑΝΗ 16122,0.0
cat__Τύπος_Bigster,0.0
cat__Περιοχή_ΙΛΙΟΝ 13123,0.0
cat__Τύπος_Berlingo,0.0
cat__Περιοχή_ΙΛΙΟΝ 13121,0.0
cat__Περιοχή_ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ 13676,0.0
cat__Τύπος_Bayon,0.0
cat__Περιοχή_ΗΛΙΟΥΠΟΛΗ 16345,0.0
cat__Περιοχή_ΗΛΙΟΥΠΟΛΗ 16344,0.0
cat__Περιοχή_ΗΛΙΟΥΠΟΛΗ 16343,0.0
cat__Τύπος_BUSINESS,0.0
cat__Τύπος_BRZ,0.0
cat__Περιοχή_ΚΕΡΑΤΣΙΝΙ 18756,0.0
cat__Περιοχή_ΚΕΡΑΤΣΙΝΙ 18755,0.0
cat__Τύπος_Crossland (X),0.0
cat__Περιοχή_ΚΑΠΑΝΔΡΙΤΙ 19014,0.0
cat__Τύπος_Crossland,0.0
cat__Περιοχή_ΚΑΛΛΙΘΕΑ 17676,0.0
cat__Τύπος_Crafter,0.0
cat__Τύπος_Corolla,0.0
cat__Τύπος_Cooper SE Countryman,0.0
cat__Περιοχή_ΚΑΛΛΙΘΕΑ 17672,0.0
cat__Τύπος_Cooper SE,0.0
cat__Κατασκευαστής_Lexus,0.0
cat__Κατασκευαστής_Leapmotor,0.0
cat__Κατασκευαστής_Lada,0.0
cat__Τύπος_Cooper C Countryman,0.0
cat__Τύπος_Cooper C,0.0
cat__Τύπος_Cooper,0.0
cat__Τύπος_Continental GT,0.0
cat__Τύπος_Compass,0.0
cat__Περιοχή_ΜΑΡΑΘΩΝΑΣ 19007,0.0
cat__Περιοχή_ΜΑΝΔΡΑ 19600,0.0
cat__Περιοχή_ΜΑΓΟΥΛΑ 19018,0.0
cat__Κατασκευαστής_Renault,0.0
cat__Περιοχή_ΛΙΜΕΝΑΣ ΜΑΡΚΟΠΟΥΛΟΥ 19023,0.0
cat__Περιοχή_ΛΑΥΡΙΟ 19500,0.0
cat__Τύπος_Combo Life,0.0
cat__Περιοχή_ΚΟΡΩΠΙ 19443,0.0
cat__Τύπος_Combo,0.0
cat__Περιοχή_ΚΟΡΥΔΑΛΛΟΣ 18121,0.0
cat__Περιοχή_ΚΟΡΥΔΑΛΛΟΣ 18120,0.0
cat__Τύπος_Discovery,0.0
cat__Περιοχή_ΚΕΡΑΤΣΙΝΙ 18757,0.0
cat__Τύπος_DS9,0.0
cat__Περιοχή_ΝΕΑ ΣΜΥΡΝΗ 17121,0.0
cat__Τύπος_DS7,0.0
cat__Περιοχή_ΝΕΑ ΠΕΝΤΕΛΗ 15239,0.0
cat__Τύπος_DS4,0.0
cat__Περιοχή_ΝΕΑ ΙΩΝΙΑ 14235,0.0
cat__Περιοχή_ΝΕΑ ΙΩΝΙΑ 14234,0.0
cat__Περιοχή_ΝΕΑ ΙΩΝΙΑ 14232,0.0
cat__Τύπος_DS3,0.0
cat__Τύπος_DS-3,0.0
cat__Τύπος_DS,0.0
cat__Περιοχή_ΜΟΣΧΑΤΟ 18344,0.0
cat__Τύπος_DOLPHIN,0.0
cat__Τύπος_D3 S,0.0
cat__Περιοχή_ΜΑΡΟΥΣΙ 15126,0.0
cat__Τύπος_D2s,0.0
cat__Τύπος_D2,0.0
cat__Κατασκευαστής_DS,0.0
cat__Κατασκευαστής_DFSK,0.0
cat__Τύπος_D1,0.0
cat__Τύπος_D-Max,0.0
cat__Κατασκευαστής_ClubCar,0.0
cat__Περιοχή_ΝΙΚΑΙΑ 18453,0.0
cat__Περιοχή_ΝΙΚΑΙΑ 18452,0.0
cat__Τύπος_Custom,0.0
cat__Περιοχή_ΝΙΚΑΙΑ 18450,0.0
cat__Τύπος_Crosstrek,0.0
cat__Περιοχή_ΝΕΑ ΧΑΛΚΗΔΟΝΑ 14343,0.0
cat__Τύπος_Crossland X,0.0
cat__Περιοχή_ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ 14341,0.0
cat__Περιοχή_ΝΕΑ ΣΜΥΡΝΗ 17124,0.0
cat__Περιοχή_ΝΕΑ ΣΜΥΡΝΗ 17123,0.0
cat__Περιοχή_ΠΑΠΑΓΟΣ 15669,0.0
cat__Περιοχή_ΠΑΛΟΥΚΙΑ 18901,0.0
cat__Τύπος_EQE SUV,0.0
cat__Περιοχή_ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17563,0.0
cat__Τύπος_EQC,0.0
cat__Τύπος_EQB,0.0
cat__Τύπος_EQA,0.0
cat__Τύπος_E5,0.0
cat__Τύπος_Duster,0.0
cat__Κατασκευαστής_GMC,0.0
cat__Τύπος_Ducato,0.0
cat__Τύπος_Doblo,0.0
cat__Κατασκευαστής_Farizon,0.0
cat__Κατασκευαστής_Ecocar,0.0
cat__Κατασκευαστής_DongFeng,0.0
cat__Κατασκευαστής_Dodge,0.0
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18547,0.0
cat__Τύπος_C 180,0.0
cat__Τύπος_C 10,0.0
cat__Τύπος_Boxster,0.0
cat__Τύπος_Boxer,0.0
cat__Τύπος_Born,0.0
cat__Τύπος_BlueHDi L1 650 Feel,0.0
cat__Τύπος_Discovery Sport,0.0
cat__Περιοχή_ΥΜΗΤΤΟΣ 17237,0.0
cat__Περιοχή_ΥΜΗΤΤΟΣ 17236,0.0
cat__Περιοχή_ΤΑΥΡΟΣ 17778,0.0
cat__Περιοχή_ΣΤΑΜΑΤΑ 14575,0.0
cat__Περιοχή_ΣΠΕΤΣΕΣ 18050,0.0
cat__Περιοχή_ΣΠΑΤΑ 19004,0.0
cat__Τύπος_Fabia,0.0
cat__Κατασκευαστής_Abarth,0.0
cat__Τύπος_Expert,0.0
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18546,0.0
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18545,0.0
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18544,0.0
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18543,0.0
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18542,0.0
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18541,0.0
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18540,0.0
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18539,0.0
cat__Τύπος_Enyaq,0.0
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18537,0.0
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18536,0.0
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18535,0.0
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18534,0.0
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18533,0.0
cat__Περιοχή_ΛΥΚΟΒΡΥΣΗ 14123,0.0
