Transformed_Feature,Mean_Abs_SHAP
cat__Τύπος_RS6,2.1527054
cat__Τύπος_e-tron,2.1455913
cat__Περιοχή_ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ 17341,2.1407247
cat__Τύπος_120,2.0993662
cat__Τύπος_E 400,2.087111
cat__Κατασκευαστής_BYD,1.9946723
cat__Περιοχή_ΒΑΡΗ 16672,1.9516804
cat__Τύπος_i4,1.9493212
cat__Κατασκευαστής_Lotus,1.9233719
cat__Τύπος_Panamera,1.8749974
cat__Περιοχή_ΓΕΡΑΚΑΣ 15344,1.8593514
cat__Τύπος_Q8,1.8444128
cat__Περιοχή_ΜΑΡΟΥΣΙ 15123,1.8099574
cat__Τύπος_M3,1.7228891
cat__Τύπος_X4,1.6471076
cat__Τύπος_Proace,1.6281075
cat__Τύπος_S 400,1.6131027
cat__Περιοχή_ΝΕΑ ΣΜΥΡΝΗ 17122,1.575706
cat__Περιοχή_ΝΕΑ ΜΑΚΡΗ 19005,1.5527157
cat__Κατασκευαστής_Lynk&Co,1.5327733
cat__Τύπος_E 300,1.4941412
cat__Περιοχή_ΠΑΛΛΗΝΗ 15351,1.4172659
cat__Τύπος_MG3,1.4101926
cat__Τύπος_A 160,1.3052655
cat__Κατασκευαστής_Maxus,1.2540922
cat__Κατασκευαστής_Cupra,1.2515262
cat__Τύπος_Vivaro,1.2316947
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18538,1.1916034
cat__Κατασκευαστής_Fiat,1.1545067
cat__Τύπος_A 45 AMG,1.1243094
cat__Τύπος_A 180,1.1093601
cat__Περιοχή_ΗΛΙΟΥΠΟΛΗ 16346,1.0927436
cat__Περιοχή_ΧΑΙΔΑΡΙ 12461,1.0293808
cat__Τύπος_E-Pace,0.98594445
cat__Τύπος_Mokka,0.94633895
cat__Περιοχή_ΑΧΑΡΝΕΣ 13674,0.91656405
cat__Τύπος_I-Pace,0.9005773
cat__Περιοχή_ΚΡΥΟΝΕΡΙ 14568,0.8832481
cat__Περιοχή_ΜΑΡΟΥΣΙ 15122,0.88250846
cat__Τύπος_V 300,0.847287
cat__Τύπος_Jimny,0.84272385
cat__Τύπος_Sprinter,0.84241605
cat__Κατασκευαστής_Corvette,0.83438665
cat__Τύπος_RSQ3,0.8261481
cat__Περιοχή_ΝΙΚΑΙΑ 18454,0.789803
cat__Περιοχή_ΑΘΗΝΑ 10443,0.7792645
cat__Τύπος_M8,0.7701884
cat__Τύπος_Huracan,0.7630526
cat__Τύπος_GLE 450,0.7478828
cat__Τύπος_i8,0.7371978
cat__Κατασκευαστής_Kia,0.6798079
cat__Τύπος_CLE 53 AMG,0.6514878
cat__Κατασκευαστής_Alpina,0.64749837
cat__Τύπος_EQV,0.6072907
cat__Τύπος_A 200,0.6050315
cat__Τύπος_Raptor,0.5826313
cat__Τύπος_Tourneo Custom,0.5812546
cat__Τύπος_Countryman,0.5754466
cat__Κατασκευαστής_KGM,0.57279813
cat__Τύπος_Connect,0.5630991
cat__Τύπος_Focus,0.5579355
cat__Τύπος_Roma,0.55586344
cat__Τύπος_F-Type,0.5494936
cat__Περιοχή_ΜΟΣΧΑΤΟ 18346,0.5374397
cat__Περιοχή_ΝΕΑ ΠΕΡΑΜΟΣ ΑΤΤΙΚΗΣ 19006,0.5236595
cat__Τύπος_Urus,0.5074233
cat__Περιοχή_ΜΕΤΑΜΟΡΦΩΣΗ 14452,0.49563044
cat__Τύπος_Explorer,0.46680555
cat__Τύπος_M440,0.45329785
cat__Περιοχή_ΦΙΛΟΘΕΗ 15237,0.45116517
cat__Τύπος_Model S,0.44597656
cat__Τύπος_Amarok,0.4445452
cat__Τύπος_Bentayga,0.4399448
cat__Τύπος_Zafira Life,0.43729594
cat__Τύπος_CLE 200,0.41364625
cat__Τύπος_GLC 400,0.40892237
cat__Τύπος_740,0.38998792
cat__Περιοχή_ΑΧΑΡΝΕΣ 13671,0.37348843
cat__Τύπος_E 53 AMG,0.36069924
cat__Κατασκευαστής_Hyundai,0.35959896
cat__Τύπος_EQS,0.3516502
cat__Περιοχή_ΚΑΛΛΙΘΕΑ 17675,0.3446873
cat__Περιοχή_ΑΘΗΝΑ 11631,0.34381986
cat__Τύπος_E 220,0.33482537
cat__Τύπος_Q5,0.3219749
cat__Τύπος_Q7,0.3216199
cat__Τύπος_840,0.3205378
cat__Τύπος_X3 M,0.32012725
cat__Τύπος_M340i,0.3128223
cat__Τύπος_420,0.2923497
cat__Τύπος_Aygo,0.29231116
cat__Περιοχή_ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ 17342,0.2918732
cat__Περιοχή_ΑΛΙΜΟΣ 17456,0.29162374
cat__Περιοχή_ΧΑΙΔΑΡΙ 12462,0.29031652
cat__Περιοχή_ΜΑΡΚΟΠΟΥΛΟ 19003,0.2819995
cat__Περιοχή_ΓΛΥΚΑ ΝΕΡΑ 15354,0.27990863
cat__Περιοχή_ΕΛΛΗΝΙΚΟ 16777,0.27551687
cat__Τύπος_C40,0.26850873
cat__Τύπος_Levante,0.26784462
cat__Τύπος_Corolla Cross,0.2674383
cat__Τύπος_Yaris,0.26648015
