Κατασκευαστής,Τύπος,Εγγραφή,Ηλικία,Καύσιμο,Μετάδοση,Κυβικά,Ιπποδύναμη,Χιλιόμετρα,Κατάσταση,Περιοχή,Τιμή
Renault,Clio,2025.0,1.0,LPG / Βενζίνη,Χειροκίνητο,1000.0,100.0,6860.0,Μεταχειρισμένο,ΑΘΗΝΑ 11527,17000.0
Renault,Symbioz,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,1800.0,160.0,0.0,Καινούργιο,ΑΘΗΝΑ 11527,32800.0
Toyota,Yaris,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,116.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,21620.0
Toyota,Prius,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,2000.0,194.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,48700.0
Toyota,Corolla,2026.0,0.0,Βενζίνη,Χειροκίνητο,1500.0,119.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,21400.0
Toyota,PROACE CITY,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,136.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,30793.0
Toyota,RAV 4,2026.0,0.0,Plug-in Hybrid Βενζίνης,Αυτόματο,2500.0,306.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,59200.0
Toyota,RAV 4,2026.0,0.0,Plug-in Hybrid Βενζίνης,Αυτόματο,2500.0,306.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,46130.0
Audi,Q3,2025.0,1.0,Βενζίνη,Αυτόματο,1500.0,150.0,10500.0,Μεταχειρισμένο,ΚΗΦΙΣΙΑ 14561,34900.0
Toyota,RAV 4,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,2500.0,306.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,42730.0
Toyota,C-HR,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1800.0,140.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,29300.0
Toyota,Corolla Cross,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,2000.0,196.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,31350.0
Toyota,Proace Max,2025.0,1.0,Πετρέλαιο,Χειροκίνητο,2200.0,140.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,44200.0
Toyota,bZ4X,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,224.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,46390.0
Toyota,Proace,2025.0,1.0,Πετρέλαιο,Χειροκίνητο,2200.0,180.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,37497.0
Toyota,Land Cruiser,2026.0,0.0,Υβριδικό Πετρελαίου,Αυτόματο,2800.0,205.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,106000.0
Toyota,Yaris Cross,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,130.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,25310.0
Toyota,Aygo (X),2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,116.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,22070.0
Toyota,Aygo (X),2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,116.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,22070.0
Toyota,PROACE CITY,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,136.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,35460.0
Toyota,Aygo (X),2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,72.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,17950.0
Toyota,Hilux,2026.0,0.0,Πετρέλαιο,Αυτόματο,2800.0,204.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,42630.0
Toyota,C-HR,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,1800.0,220.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,33150.0
Toyota,Yaris,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,130.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,25000.0
Toyota,PROACE CITY,2026.0,0.0,Πετρέλαιο,Χειροκίνητο,1500.0,130.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,26220.0
Toyota,PROACE CITY,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,136.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,31276.0
Toyota,PROACE CITY,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,136.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,30793.0
Toyota,Proace,2025.0,1.0,Πετρέλαιο,Χειροκίνητο,2000.0,177.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,38261.0
Toyota,Proace Max,2025.0,1.0,Πετρέλαιο,Χειροκίνητο,2200.0,140.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,44200.0
Mercedes-Benz,E 300,2025.0,1.0,Plug-in Hybrid Πετρελαίου,Αυτόματο,2000.0,313.0,17100.0,Μεταχειρισμένο,ΠΑΛΛΗΝΗ 15351,75000.0
Toyota,Yaris,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,116.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,21620.0
Toyota,C-HR,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,1800.0,220.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,28680.0
Toyota,C-HR,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,338.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,44990.0
Toyota,RAV 4,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,2500.0,306.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,39730.0
Citroen,AMI,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,8.0,50.0,Καινούργιο,ΑΘΗΝΑ 11476,9000.0
Audi,Q8,2025.0,1.0,Πετρέλαιο,Αυτόματο,3000.0,286.0,5000.0,Μεταχειρισμένο,ΕΚΑΛΗ 14578,119000.0
BMW,M5,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,4400.0,727.0,3000.0,Μεταχειρισμένο,ΚΗΦΙΣΙΑ 14562,158000.0
Mercedes-Benz,GLB 180,2025.0,1.0,Βενζίνη,Αυτόματο,1300.0,136.0,0.0,Καινούργιο,ΚΟΡΩΠΙ 19400,41950.0
Jaecoo,7 SHS,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1500.0,340.0,6276.0,Μεταχειρισμένο,ΚΟΡΩΠΙ 19400,38500.0
Mercedes-Benz,CLE 200,2025.0,1.0,Βενζίνη,Αυτόματο,2000.0,204.0,0.0,Καινούργιο,ΚΟΡΩΠΙ 19400,70500.0
Mercedes-Benz,Vito,2025.0,1.0,Πετρέλαιο,Χειροκίνητο,2000.0,102.0,0.0,Καινούργιο,ΚΟΡΩΠΙ 19400,41500.0
Mercedes-Benz,A 45 AMG,2025.0,1.0,Βενζίνη,Αυτόματο,2000.0,421.0,0.0,Καινούργιο,ΚΟΡΩΠΙ 19400,91500.0
Mercedes-Benz,Citan,2025.0,1.0,Πετρέλαιο,Χειροκίνητο,1500.0,116.0,0.0,Καινούργιο,ΚΟΡΩΠΙ 19400,39500.0
Mercedes-Benz,S 450,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,3000.0,299.0,0.0,Καινούργιο,ΚΟΡΩΠΙ 19400,175000.0
Kia,Picanto,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,79.0,5265.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17456,14980.0
Fiat,600,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,100.0,12005.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17456,21700.0
Opel,Corsa,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,75.0,14401.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17456,15680.0
Citroen,C3,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,6000.0,Μεταχειρισμένο,ΜΑΡΚΟΠΟΥΛΟ 19003,16990.0
Toyota,Land Cruiser,2025.0,1.0,Πετρέλαιο,Αυτόματο,2800.0,205.0,3500.0,Μεταχειρισμένο,ΝΕΟ ΗΡΑΚΛΕΙΟ 14122,106850.0
Citroen,C3,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,6000.0,Μεταχειρισμένο,ΜΑΡΚΟΠΟΥΛΟ 19003,16990.0
Foton,Tunland G7,2025.0,1.0,Πετρέλαιο,Χειροκίνητο,2000.0,163.0,0.0,Καινούργιο,ΑΓ. ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ 18233,29865.0
Foton,Tunland V,2025.0,1.0,Υβριδικό Πετρελαίου,Αυτόματο,2000.0,163.0,0.0,Καινούργιο,ΑΓ. ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ 18233,46554.0
Foton,Tunland G7,2025.0,1.0,Πετρέλαιο,Αυτόματο,2000.0,163.0,0.0,Καινούργιο,ΑΓ. ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ 18233,32320.0
Foton,Tunland V,2025.0,1.0,Υβριδικό Πετρελαίου,Αυτόματο,2000.0,163.0,0.0,Καινούργιο,ΑΓ. ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ 18233,42465.0
Audi,Q3,2025.0,1.0,Βενζίνη,Αυτόματο,1500.0,150.0,10500.0,Μεταχειρισμένο,ΚΗΦΙΣΙΑ 14561,34900.0
Mitsubishi,Asx,2026.0,0.0,Βενζίνη,Χειροκίνητο,1000.0,91.0,1.0,Καινούργιο,ΑΧΑΡΝΕΣ 13671,20900.0
Volvo,EX30,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,272.0,1200.0,Μεταχειρισμένο,ΒΡΙΛΗΣΣΙΑ 15235,36500.0
Opel,Grandland X,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1200.0,145.0,5200.0,Μεταχειρισμένο,ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ 13562,36800.0
Toyota,PROACE CITY,2025.0,1.0,Πετρέλαιο,Χειροκίνητο,1500.0,130.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,27085.0
Honda,Ny1,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,201.0,5.0,Καινούργιο,ΜΑΡΟΥΣΙ 15125,39900.0
Honda,Jazz,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,121.0,1.0,Καινούργιο,ΑΧΑΡΝΕΣ 13671,25490.0
Renault,Trafic,2026.0,0.0,Πετρέλαιο,Αυτόματο,2000.0,150.0,0.0,Καινούργιο,ΠΕΙΡΑΙΑΣ 18542,52700.0
Mercedes-Benz,Vito,2025.0,1.0,Πετρέλαιο,Αυτόματο,2000.0,102.0,0.0,Μεταχειρισμένο,ΚΑΛΛΙΘΕΑ 17675,12000.0
Mercedes-Benz,GLE 350,2025.0,1.0,Plug-in Hybrid Πετρελαίου,Αυτόματο,2000.0,320.0,6000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12136,129000.0
Mercedes-Benz,E 220,2025.0,1.0,Πετρέλαιο,Αυτόματο,2000.0,197.0,32000.0,Μεταχειρισμένο,ΑΡΓΥΡΟΥΠΟΛΗ 16451,72000.0
Porsche,Cayenne,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,3000.0,519.0,19000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12131,157900.0
Volvo,C40,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,408.0,9000.0,Μεταχειρισμένο,ΑΘΗΝΑ 10444,42500.0
Renault,Captur,2025.0,1.0,LPG / Βενζίνη,Χειροκίνητο,1000.0,100.0,7000.0,Μεταχειρισμένο,ΠΕΙΡΑΙΑΣ 18542,20600.0
MG,EHS,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1500.0,258.0,4000.0,Μεταχειρισμένο,ΒΥΡΩΝΑΣ 16233,32500.0
Toyota,Hilux,2026.0,0.0,Πετρέλαιο,Αυτόματο,2800.0,204.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,42630.0
Toyota,Hilux,2026.0,0.0,Πετρέλαιο,Χειροκίνητο,2800.0,204.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,40000.0
Toyota,Hilux,2026.0,0.0,Πετρέλαιο,Αυτόματο,2800.0,204.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,39650.0
Toyota,Hilux,2026.0,0.0,Πετρέλαιο,Χειροκίνητο,2800.0,204.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,37030.0
Toyota,Hilux,2026.0,0.0,Πετρέλαιο,Χειροκίνητο,2800.0,204.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,36736.0
Honda,Jazz,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,121.0,1.0,Καινούργιο,ΜΑΡΟΥΣΙ 15125,25490.0
Honda,HR-V,2026.0,0.0,Βενζίνη,Αυτόματο,1500.0,131.0,0.0,Καινούργιο,ΜΑΡΟΥΣΙ 15125,34490.0
Honda,CR-V,2026.0,0.0,Βενζίνη,Αυτόματο,2000.0,184.0,1.0,Καινούργιο,ΜΑΡΟΥΣΙ 15125,54700.0
Mercedes-Benz,E 300,2025.0,1.0,Plug-in Hybrid Πετρελαίου,Αυτόματο,2000.0,313.0,17100.0,Μεταχειρισμένο,ΠΑΛΛΗΝΗ 15351,75000.0
Honda,Jazz,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,121.0,1.0,Καινούργιο,ΜΑΡΟΥΣΙ 15125,27830.0
Honda,Ny1,2026.0,0.0,Ηλεκτρικό,Αυτόματο,,201.0,5.0,Καινούργιο,ΜΑΡΟΥΣΙ 15125,39900.0
Honda,Civic,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,2000.0,184.0,2.0,Καινούργιο,ΜΑΡΟΥΣΙ 15125,44350.0
Honda,HR-V,2026.0,0.0,Βενζίνη,Αυτόματο,1500.0,131.0,1.0,Καινούργιο,ΜΑΡΟΥΣΙ 15125,37690.0
Honda,CR-V,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,2000.0,184.0,2.0,Καινούργιο,ΜΑΡΟΥΣΙ 15125,54700.0
Renault,Rafale,2026.0,0.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1200.0,300.0,0.0,Καινούργιο,ΑΘΗΝΑ 11527,51800.0
Skoda,Elroq,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,286.0,12500.0,Μεταχειρισμένο,ΧΑΛΑΝΔΡΙ 15233,40700.0
Volvo,EX90,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,509.0,4476.0,Μεταχειρισμένο,ΑΘΗΝΑ 10447,87900.0
Renault,Clio,2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,90.0,0.0,Καινούργιο,ΧΑΙΔΑΡΙ 12461,19400.0
Citroen,C3,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,13269.0,Μεταχειρισμένο,ΕΛΕΥΣΙΝΑ 19200,16950.0
Renault,Captur,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1800.0,160.0,0.0,Καινούργιο,ΠΕΙΡΑΙΑΣ 18542,25900.0
Citroen,C3 Aircross,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,145.0,0.0,Καινούργιο,ΑΧΑΡΝΕΣ 13671,24000.0
Citroen,C3 Aircross,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,0.0,Καινούργιο,ΑΧΑΡΝΕΣ 13671,18900.0
Toyota,C-HR,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,1800.0,220.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,34780.0
Mini,Cooper S,2025.0,1.0,Βενζίνη,Αυτόματο,2000.0,204.0,3400.0,Μεταχειρισμένο,ΨΥΧΙΚΟ 15452,40000.0
LandRover,Range Rover Evoque,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1500.0,269.0,8500.0,Μεταχειρισμένο,ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17564,76500.0
LandRover,Defender,2025.0,1.0,Υβριδικό Πετρελαίου,Αυτόματο,3000.0,300.0,18500.0,Μεταχειρισμένο,ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17564,133000.0
LandRover,Range Rover Evoque,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1500.0,269.0,8500.0,Μεταχειρισμένο,ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17564,76500.0
MG,MG3,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1500.0,195.0,8000.0,Μεταχειρισμένο,ΜΕΛΙΣΣΙΑ 15127,18000.0
Leapmotor,T 03,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,95.0,1.0,Καινούργιο,ΓΛΥΦΑΔΑ 16674,15900.0
Leapmotor,C 10,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,218.0,1.0,Καινούργιο,ΓΛΥΦΑΔΑ 16674,35400.0
Fiat,Topolino,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,9.0,1.0,Καινούργιο,ΓΛΥΦΑΔΑ 16674,10100.0
Toyota,Aygo (X),2025.0,1.0,Βενζίνη,Αυτόματο,1000.0,72.0,7000.0,Μεταχειρισμένο,ΜΑΡΟΥΣΙ 15124,20700.0
Jeep,Avenger,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,9100.0,Μεταχειρισμένο,ΓΛΥΦΑΔΑ 16674,16500.0
MG,ZS,2025.0,1.0,Βενζίνη,Χειροκίνητο,1500.0,106.0,18761.0,Μεταχειρισμένο,ΝΕΑ ΙΩΝΙΑ 14235,16850.0
Toyota,Aygo (X),2025.0,1.0,Βενζίνη,Αυτόματο,1000.0,72.0,2581.0,Μεταχειρισμένο,ΑΘΗΝΑ 11742,17000.0
Hyundai,i 20,2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,100.0,6000.0,Μεταχειρισμένο,ΕΛΕΥΣΙΝΑ 19200,21500.0
Nissan,Juke,2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,115.0,116.0,Μεταχειρισμένο,ΧΑΙΔΑΡΙ 12461,23990.0
Toyota,Proace (Verso),2025.0,1.0,Πετρέλαιο,Χειροκίνητο,2000.0,145.0,1500.0,Μεταχειρισμένο,ΚΑΛΛΙΘΕΑ 17675,44000.0
Dacia,Sandero,2025.0,1.0,Βενζίνη,Αυτόματο,1000.0,90.0,0.0,Καινούργιο,ΧΑΙΔΑΡΙ 12461,19890.0
Renault,Clio,2025.0,1.0,LPG / Βενζίνη,Χειροκίνητο,1000.0,100.0,0.0,Καινούργιο,ΧΑΙΔΑΡΙ 12461,21400.0
Renault,Captur,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,1800.0,160.0,0.0,Καινούργιο,ΧΑΙΔΑΡΙ 12461,26900.0
Renault,Arkana,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1600.0,145.0,0.0,Καινούργιο,ΧΑΙΔΑΡΙ 12461,33900.0
Peugeot,2008,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,13992.0,Μεταχειρισμένο,ΕΛΕΥΣΙΝΑ 19200,19000.0
Toyota,Hilux,2025.0,1.0,Πετρέλαιο,Αυτόματο,2800.0,204.0,1.0,Καινούργιο,ΖΩΓΡΑΦΟΣ 15773,52640.0
Citroen,ë-C3 Aircross,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,113.0,3000.0,Μεταχειρισμένο,ΑΡΓΥΡΟΥΠΟΛΗ 16452,26900.0
Mercedes-Benz,V 220,2025.0,1.0,Πετρέλαιο,Αυτόματο,2000.0,165.0,23000.0,Μεταχειρισμένο,ΜΑΡΚΟΠΟΥΛΟ 19003,75900.0
Dacia,Bigster,2025.0,1.0,LPG / Βενζίνη,Χειροκίνητο,1200.0,140.0,0.0,Καινούργιο,ΠΕΙΡΑΙΑΣ 18542,26100.0
Toyota,Yaris,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,116.0,286.0,Μεταχειρισμένο,ΜΑΡΟΥΣΙ 15124,20800.0
Peugeot,2008,2025.0,1.0,Βενζίνη,Αυτόματο,1200.0,75.0,15000.0,Μεταχειρισμένο,ΠΕΙΡΑΙΑΣ 18532,10000.0
Peugeot,2008,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,145.0,14878.0,Μεταχειρισμένο,ΑΘΗΝΑ 11522,25600.0
Chery,Τiggo 8,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1500.0,279.0,8945.0,Μεταχειρισμένο,ΑΘΗΝΑ 11522,34900.0
Peugeot,3008,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,145.0,6500.0,Μεταχειρισμένο,ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ 13676,34000.0
Subaru,Forester,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,2000.0,136.0,16500.0,Μεταχειρισμένο,ΧΑΛΑΝΔΡΙ 15232,47000.0
Skoda,Fabia,2026.0,0.0,Βενζίνη,Χειροκίνητο,1000.0,116.0,0.0,Καινούργιο,ΜΟΣΧΑΤΟ 18346,19500.0
Peugeot,2008,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,2700.0,Μεταχειρισμένο,ΚΗΦΙΣΙΑ 14561,19400.0
Porsche,Cayenne,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,3000.0,519.0,0.0,Καινούργιο,ΕΚΑΛΗ 14578,159900.0
Mercedes-Benz,E 300,2025.0,1.0,Plug-in Hybrid Πετρελαίου,Αυτόματο,2000.0,327.0,19169.0,Μεταχειρισμένο,ΒΟΥΛΑ 16673,79800.0
BMW,M5,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,4400.0,727.0,6700.0,Μεταχειρισμένο,ΒΟΥΛΑ 16673,158000.0
Hyundai,INSTER,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,115.0,530.0,Μεταχειρισμένο,ΓΛΥΦΑΔΑ 16674,25900.0
Citroen,C3,2025.0,1.0,Υβριδικό Πετρελαίου,Αυτόματο,1200.0,100.0,0.0,Καινούργιο,ΑΧΑΡΝΕΣ 13671,26500.0
Volkswagen,T-Cross,2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,95.0,17440.0,Μεταχειρισμένο,ΑΡΓΥΡΟΥΠΟΛΗ 16452,20900.0
Skoda,Scala,2025.0,1.0,Βενζίνη,Αυτόματο,1000.0,116.0,19685.0,Μεταχειρισμένο,ΑΡΓΥΡΟΥΠΟΛΗ 16452,20950.0
Honda,ZR-V,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,2000.0,186.0,8500.0,Μεταχειρισμένο,ΠΕΤΡΟΥΠΟΛΗ 13231,33000.0
Peugeot,3008,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,145.0,4695.0,Μεταχειρισμένο,ΑΘΗΝΑ 10439,33990.0
Volkswagen,T-Cross,2025.0,1.0,Βενζίνη,Αυτόματο,1000.0,116.0,11241.0,Μεταχειρισμένο,ΜΑΡΟΥΣΙ 15124,23650.0
Renault,Clio,2025.0,1.0,LPG / Βενζίνη,Χειροκίνητο,1000.0,100.0,0.0,Καινούργιο,ΠΕΡΙΣΤΕΡΙ 12131,19300.0
Porsche,911,2025.0,1.0,Βενζίνη,Αυτόματο,3600.0,541.0,22.0,Καινούργιο,ΚΟΡΩΠΙ 19400,195900.0
BMW,X5,2025.0,1.0,Πετρέλαιο,Αυτόματο,3000.0,298.0,9000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12133,98000.0
Renault,R 5,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,120.0,0.0,Καινούργιο,ΠΕΙΡΑΙΑΣ 18542,29400.0
Renault,R 5,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,120.0,6600.0,Μεταχειρισμένο,ΠΕΙΡΑΙΑΣ 18542,27500.0
Mini,Countryman,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,170.0,4180.0,Μεταχειρισμένο,ΖΩΓΡΑΦΟΣ 15773,32700.0
BYD,DOLPHIN,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,204.0,14890.0,Μεταχειρισμένο,ΓΛΥΦΑΔΑ 16675,22600.0
Suzuki,e Vitara,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,144.0,0.0,Καινούργιο,ΚΑΛΛΙΘΕΑ 17675,29670.0
Citroen,C4,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,145.0,0.0,Καινούργιο,ΑΧΑΡΝΕΣ 13671,24300.0
Dacia,Sandero,2026.0,0.0,LPG / Βενζίνη,Χειροκίνητο,1000.0,100.0,0.0,Καινούργιο,ΧΑΙΔΑΡΙ 12461,19390.0
Dacia,Sandero,2025.0,1.0,Βενζίνη,Αυτόματο,1000.0,90.0,0.0,Καινούργιο,ΧΑΙΔΑΡΙ 12461,17990.0
Renault,Clio,2025.0,1.0,LPG / Βενζίνη,Χειροκίνητο,1000.0,100.0,0.0,Καινούργιο,ΠΕΡΙΣΤΕΡΙ 12131,19500.0
DFSK,500,2025.0,1.0,Βενζίνη,Αυτόματο,1500.0,106.0,3500.0,Μεταχειρισμένο,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ 15342,17195.0
Peugeot,2008,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,2700.0,Μεταχειρισμένο,ΚΗΦΙΣΙΑ 14561,19400.0
Seat,Ibiza,2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,95.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,17990.0
Toyota,Aygo (X),2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,72.0,0.0,Καινούργιο,ΖΩΓΡΑΦΟΣ 15773,16940.0
Nissan,Qashqai,2025.0,1.0,Βενζίνη,Αυτόματο,1300.0,158.0,0.0,Καινούργιο,ΠΕΙΡΑΙΑΣ 18542,27680.0
Chery,Τiggo 7,2025.0,1.0,Βενζίνη,Αυτόματο,1600.0,147.0,3000.0,Μεταχειρισμένο,ΧΑΙΔΑΡΙ 12461,29000.0
Citroen,C3 Aircross,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,145.0,0.0,Καινούργιο,ΑΧΑΡΝΕΣ 13671,25600.0
Citroen,C3,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,100.0,0.0,Καινούργιο,ΑΧΑΡΝΕΣ 13671,22200.0
Mercedes-Benz,GLE 400,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,2000.0,381.0,0.0,Καινούργιο,ΚΟΡΩΠΙ 19400,127500.0
